Rank,Team,Solved
1,McGinn,11
2,quailty,10
3,RNS,10
4,RedStar1,10
5,team10086,9
6,liyang,9
7,WindRunner,9
8,kut_msm,9
9,immortal,9
10,Qiao Ranliqu,8
11,LzyRapx,8
12,hdu_burdenfly,8
13,SYSU_ÍõÒã·å,8
14,zyb,8
15,vincentchou1996,7
16,HDU_Gatling,7
17,B15030217,7
18,MZ,7
19,hnqw1214,7
20,lzh,7
21,zhengzhenhang,7
22,Haut_cds,7
23,enamor,6
24,lqd,6
25,team031,6
26,shadowknight,6
27,HDU_Aloha\'Oe,6
28,Tak3n,6
29,whczss,6
30,ACMeow,6
31,ÉÏ¾ö©ë§æ,6
32,yuiouiop,6
33,Redstar2,6
34,kugwzk,6
35,Winter,6
36,brokenheart,5
37,AerixChan,5
38,Connor.Zhong,5
39,LeDestin,5
40,egg__,5
41,ziposcar,5
42,REEEEX,5
43,Mom'sMoron,5
44,Ë§±¦±¦,5
45,shiyilang,5
46,3gexiaohao,5
47,hnust_lixiuwen,5
48,makejokes,5
49,oxx1108,5
50,linhuangkun123,5
51,suibian1,5
52,hnust_WYW,5
53,ZZBond,5
54,teamPLZ,5
55,wangzechen2015,5
56,5120155010,5
57,kut_pcj1995,5
58,cj,5
59,hhuteam001,5
60,RogerRo,5
61,luosuocumt16,5
62,Aliange,5
63,李朝强,5
64,sjtsjt,5
65,magine,5
66,看不懂题目,5
67,tookkke,5
68,hhx,5
69,Megumin,5
70,樱花落舞,5
71,HAUT_YKC,5
72,ecjtu-xjhz.,5
73,mestayinloves,5
74,PerfectPan16,5
75,hovees,4
76,天�O,4
77,LinzhiQ,4
78,...,4
79,jsszwc,4
80,QuanQqqqq,4
81,acdart,4
82,bugaosuni59,4
83,NUC_AiR,4
84,dongsongshou,4
85,signer,4
86,喵之萌杀,4
87,wcf,4
88,541507070139,4
89,SSTupid,4
90,as2o3__,4
91,1552337396,4
92,mylegendarytime,4
93,Quasrain,4
94,16110502100,4
95,abutoto,4
96,010,4
97,xtuteam6_何佩佩...,4
98,team108,4
99,XTU-杨舒文陈军严靖...,4
100,maggch,4
101,201636000123,4
102,杀手,4
103,梦紫幽兰,4
104,18251957668,4
105,hzhzhao,4
106,AKiraKiwi,4
107,UnionFind,4
108,dutacm2017,4
109,Redscarf,4
110,CSL,4
111,FreeLp,4
112,nuc_hzx,4
113,PSacfc,4
114,jinmingyi1998,4
115,llllcq,4
116,ZondaR,4
117,Griffin,4
118,HappyEnd,4
119,JLU_nNbS,4
120,hdu107,4
121,OMGBoy,4
122,2015014268,4
123,orangesc,4
124,Unbeaten,4
125,cxq,4
126,刺猬他想被拥抱,4
127,xtufwz,4
128,后排广告位招租,4
129,bibi,4
130,白膜法师,4
131,sdut_王文豪,4
132,zhangyilian,4
133,Aoky,4
134,xiqi98,4
135,Hank,4
136,zgd,4
137,DeathXF,4
138,塞外飞龙,4
139,wanglang2016,4
140,YaoJinhui,4
141,Lixiang,4
142,KingGaruda,4
143,long long ago,4
144,Orz,4
145,lihanwenxc,4
146,YYecust,4
147,hnustCDW,4
148,tkwasok,4
149,BOYS233,4
150,yangshuang,4
151,201512203501004,4
152,1001153211,4
153,Feynman1999,4
154,RunningBug,4
155,swustlx,4
156,pangcong1,4
157,shyf1301,4
158,superice,4
159,beyoursven,4
160,jingtian777,4
161,acmstruggler,4
162,SDUTTX1602秦圣昭,4
163,只会二分猜题意,4
164,AC-Persist,4
165,8023yy,4
166,WeYoung,3
167,xsthunder,3
168,MillieX,3
169,Emotion,3
170,Rdoinei,3
171,adruill,3
172,Alice2017,3
173,M1saki,3
174,wxc_zz,3
175,xuzhiwen,3
176,shuafen,3
177,S丿Black,3
178,tokitsukaze,3
179,duxing2016,3
180,April,3
181,handsomehow,3
182,ZHangFY,3
183,SDUT计科1608李东庆...,3
184,wudu98,3
185,jxnu 15 zh,3
186,863471268,3
187,16122435,3
188,teamLLX,3
189,3151731373,3
190,HolyMiss,3
191,frokaikan,3
192,flipped,3
193,JXNU_15_熊嘉豪,3
194,ACM李晋,3
195,2016310200110,3
196,rsola,3
197,xtu_黄宇张恒哲代卓岑...,3
198,amatsukaze,3
199,biggf666,3
200,clgx00,3
201,kezhiying,3
202,DDullahan,3
203,survivor,3
204,jsswmdhty,3
205,CrimsonFantasy,3
206,BobHuang,3
207,aler,3
208,1122332211,3
209,meopass,3
210,hehailuowei,3
211,ACM组刘峰,3
212,liuyuqiang0,3
213,mirror58229,3
214,SDUTjk1604王炜良,3
215,lastprism,3
216,teamcw,3
217,20164249,3
218,Brassica,3
219,十七,3
220,Insomnia,3
221,xtu hwz,3
222,SDUT计科1603梁剑锋...,3
223,UnderSilence,3
224,hmy98213,3
225,Ylebron,3
226,fineart,3
227,sky007,3
228,zhanghang_OUC,3
229,死亡骑士,3
230,Poon,3
231,总有出题人想害朕,3
232,luolunzi,3
233,xdx,3
234,hippopmonkey,3
235,BESTRCYZ,3
236,vodkazy,3
237,huatian,3
238,201636000128,3
239,咬人还打人的阿炳 $_$...,3
240,civin1128,3
241,王大仙,3
242,pzqaetqr,3
243,starry ...,3
244,Luoyayu,3
245,1442782905,3
246,Orzzzz,3
247,calabashboy,3
248,Angel_Kitty,3
249,zq216991,3
250,ACMinclasssix1,3
